RoomsCount;TotalArea;FloorType;WallType;RepairType;BuildingAge;BalconyBlockPresence;ElevatorPresence;BanksCount;BarsCount;KindergartensCount;FillingStationsCount;CafesCount;CinemasCount;SubwayStationcCount;ClothingStoresCount;PublicTransportStopsCount;CulturalParksCount;PizzeriasCount;ChildsClinicsCount;PostOfficesCount;DentalClinicsCount;GroceryStoresCount;ShoppingMallsCount;UniversitiesCount;SchoolsCount;Value
3;72,8;Последний;Кирпичные;Евроремонт;8;Да;Да;4;2;6;4;3;0;0;2;5;1;0;8;3;5;8;2;0;4;5670000
1;57,1;Не первый и не последний;Панельные;Евроремонт;8;Да;Да;4;2;4;3;0;0;0;3;2;0;2;0;1;3;6;4;18;1;3800000
4;118;Не первый и не последний;Кирпичные;Косметический ремонт;8;Да;Да;7;4;8;2;10;0;1;21;7;4;1;4;0;15;10;2;9;4;10900000
1;42;Не первый и не последний;Кирпичные;Косметический ремонт;8;Да;Да;7;4;8;2;10;0;1;21;7;4;1;4;0;15;10;2;9;4;4100000
2;58;Не первый и не последний;Кирпичные;Косметический ремонт;8;Да;Да;1;1;2;1;1;0;0;2;3;0;0;4;2;1;4;1;0;0;4500000
2;70;Не первый и не последний;Панельные;Косметический ремонт;8;Да;Да;4;2;4;3;0;0;0;3;2;0;2;0;1;3;6;4;18;1;4500000
2;57,8;Первый;Кирпичные;Евроремонт;9;Нет;Да;21;3;8;0;0;0;0;12;12;1;0;4;4;16;17;2;0;4;4200000
3;104,7;Не первый и не последний;Кирпичные;Косметический ремонт;9;Да;Да;20;3;9;0;0;0;0;10;11;1;0;4;4;16;17;1;0;4;8350000
2;56,27;Первый;Панельные;Косметический ремонт;9;Да;Да;4;1;9;3;0;0;0;3;3;0;0;2;2;7;16;3;0;5;2850000
1;27;Не первый и не последний;Смешанные;Косметический ремонт;9;Да;Нет;13;1;6;1;2;0;0;5;5;2;4;10;1;14;13;3;27;4;3050000
4;201,7;Первый;Кирпичные;Евроремонт;10;Да;Нет;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;30000000
3;74;Первый;Панельные;Евроремонт;10;Да;Да;4;1;8;3;0;0;0;2;3;0;0;2;2;7;14;2;0;4;4150000
1;49,7;Не первый и не последний;Монолитные;Евроремонт;11;Да;Да;29;13;12;3;9;3;2;19;10;2;4;5;4;38;27;17;7;9;4500000
1;47;Не первый и не последний;Монолитные;Евроремонт;11;Да;Да;29;13;12;3;9;3;2;19;10;2;4;5;4;38;27;17;7;9;4400000
2;57;Не первый и не последний;Монолитные;Евроремонт;11;Да;Да;29;13;12;3;9;3;2;19;10;2;4;5;4;38;27;17;7;9;4350000
3;137;Не первый и не последний;Кирпичные;Евроремонт;13;Да;Да;32;9;6;3;9;3;2;17;6;0;4;2;3;26;23;12;5;9;11000000
1;48,1;Не первый и не последний;Кирпичные;Евроремонт;13;Да;Да;17;4;9;8;3;3;1;20;7;0;2;2;4;21;19;13;3;11;3950000
2;72;Не первый и не последний;Смешанные;Без ремонта;14;Да;Да;29;11;10;1;6;3;2;17;7;0;4;5;4;30;20;14;1;11;7000000
6;520;Не первый и не последний;Кирпичные;Дизайнерский ремонт;14;Да;Нет;21;16;10;4;12;1;3;27;17;7;0;8;3;24;12;5;15;6;69000000
1;32,4;Не первый и не последний;Кирпичные;Евроремонт;17;Да;Да;3;2;5;4;2;0;0;2;4;1;0;8;3;4;8;2;0;2;2700000
3;67;Не первый и не последний;Кирпичные;Евроремонт;17;Да;Нет;3;2;5;4;2;0;0;2;4;1;0;8;3;4;8;2;0;2;5500000
2;78,1;Не первый и не последний;Кирпичные;Евроремонт;21;Да;Да;74;53;13;2;64;4;3;63;12;5;7;9;4;48;22;13;51;11;9700000
5;136;Не первый и не последний;Кирпичные;Косметический ремонт;21;Да;Да;74;53;13;2;64;4;3;63;12;5;7;9;4;48;22;13;51;11;12500000
2;49;Не первый и не последний;Панельные;Косметический ремонт;23;Да;Нет;2;0;1;3;0;0;0;0;2;0;0;0;0;0;0;5;0;1;2490000
3;88,6;Не первый и не последний;Кирпичные;Косметический ремонт;26;Да;Нет;2;0;1;3;0;0;0;0;2;0;0;0;0;0;0;5;0;1;3200000
2;37;Не первый и не последний;Кирпичные;Косметический ремонт;34;Нет;Нет;3;1;6;3;0;1;0;3;10;1;2;1;2;3;14;2;0;4;1995000
2;27;Не первый и не последний;Кирпичные;Косметический ремонт;46;Нет;Нет;8;2;4;4;1;0;0;6;7;3;1;9;2;10;16;5;7;12;1750000
1;31;Не первый и не последний;Кирпичные;Косметический ремонт;50;Да;Да;63;52;15;1;58;2;2;28;12;4;5;7;3;39;21;12;33;11;2800000
1;21;Последний;Кирпичные;Косметический ремонт;50;Нет;Нет;26;9;10;1;2;3;1;16;6;0;1;8;3;21;15;8;3;8;1500000
3;60;Не первый и не последний;Кирпичные;Дизайнерский ремонт;51;Да;Нет;43;17;17;2;25;2;3;55;6;3;4;2;3;39;22;13;24;16;4500000
1;31,9;Последний;Кирпичные;Косметический ремонт;54;Да;Нет;24;2;6;0;1;1;0;9;11;3;1;14;3;22;15;1;6;9;2150000
3;56;Не первый и не последний;Кирпичные;Косметический ремонт;55;Да;Нет;39;15;11;6;27;4;3;54;10;4;4;7;3;37;15;11;36;10;4180000
3;75,5;Первый;Кирпичные;Без ремонта;58;Нет;Нет;71;51;14;0;52;3;4;34;13;5;4;6;4;35;24;16;38;12;7500000
3;60;Не первый и не последний;Кирпичные;Косметический ремонт;58;Да;Нет;44;15;11;6;28;4;3;55;9;4;5;8;3;38;16;12;38;13;3850000
2;37;Первый;Кирпичные;Косметический ремонт;58;Нет;Нет;2;3;9;0;1;0;0;6;8;0;1;0;2;6;15;4;6;8;1800000
3;70,4;Последний;Кирпичные;Евроремонт;60;Да;Нет;4;2;10;0;1;0;0;2;10;0;0;3;3;6;8;1;0;7;2800000
3;79,5;Не первый и не последний;Кирпичные;Евроремонт;62;Нет;Нет;4;1;9;1;1;0;0;3;9;2;0;8;2;7;21;3;0;6;4950000
1;41,9;Последний;Кирпичные;Без ремонта;64;Да;Нет;71;50;13;0;53;5;4;64;12;5;4;4;4;35;24;17;36;14;2850000
2;59,5;Не первый и не последний;Кирпичные;Косметический ремонт;64;Нет;Нет;71;50;13;0;53;5;4;64;12;5;4;4;4;35;24;17;36;14;4350000
2;63,8;Не первый и не последний;Кирпичные;Евроремонт;72;Нет;Нет;64;56;17;2;63;5;1;28;9;5;6;8;3;46;21;8;47;12;4800000
2;63;Не первый и не последний;Кирпичные;Косметический ремонт;72;Нет;Нет;64;56;17;2;63;5;1;28;9;5;6;8;3;46;21;8;47;12;5070000
1;36;Не первый и не последний;Кирпичные;Без ремонта;1;Да;Нет;2;0;2;0;0;0;0;0;2;1;1;0;1;2;5;1;0;3;2600000
2;56,8;Не первый и не последний;Кирпичные;Без ремонта;1;Да;Нет;2;0;2;0;0;0;0;0;2;1;1;0;1;2;5;1;0;3;3660000
2;63,9;Не первый и не последний;Кирпичные;Без ремонта;1;Да;Да;2;0;1;2;0;2;0;8;2;1;1;0;0;2;3;1;0;0;6100000
3;100,67;Не первый и не последний;Кирпичные;Без ремонта;1;Да;Нет;2;0;1;2;0;2;0;8;2;1;1;0;0;2;3;1;0;0;8400000
2;60;Не первый и не последний;Панельные;Без ремонта;1;Да;Да;1;0;1;0;0;0;0;0;4;0;0;2;1;0;2;0;0;2;3157000
2;55;Не первый и не последний;Кирпичные;Евроремонт;1;Да;Да;3;1;5;2;3;0;0;6;4;0;0;1;1;3;11;1;1;5;4400000
1;32,84;Не первый и не последний;Кирпичные;Евроремонт;1;Нет;Да;3;1;5;2;3;0;0;6;4;0;0;1;1;3;11;1;1;5;2950000
1;38;Не первый и не последний;Кирпичные;Евроремонт;1;Да;Да;2;0;2;0;0;0;0;0;2;1;1;0;1;2;5;1;0;3;2700000
2;62,37;Не первый и не последний;Панельные;Евроремонт;1;Да;Да;1;0;1;0;0;0;0;0;4;0;0;2;1;0;2;0;0;2;3280000
3;84,2;Не первый и не последний;Панельные;Евроремонт;1;Да;Да;1;0;1;0;0;0;0;0;4;0;0;2;1;0;2;0;0;2;4500000
3;69;Первый;Кирпичные;Косметический ремонт;1;Да;Нет;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;3;0;0;4720000
